"Tanzania","","Autorisé en cas de danger pour la vie de la mère","-5.6989 34.2839","Tanzanie",""
"Thailand","","Autorisé sur demande","15.4439 100.9692","Thaïlande",""
"Timor-Leste","","Autorisé en cas de danger pour la vie de la mère","-8.7676 125.9664","Timor-Leste",""
"Togo","","Autorisé pour raisons de santé","8.8015 0.9075","Togo","Autorisé en cas de viol et d'inceste"
"Tonga","","Strictement interdit","-21.1655 -175.2625","Tonga",""
"Trinidad and Tobago","","Autorisé pour raisons de santé","10.4282 -61.3304","Trinité-et-Tobago",""
"Tunisia","","Autorisé sur demande","33.7774 9.0109","Tunisie",""
"Turkey","","Autorisé sur demande","39.3196 34.3321","Turquie",""
"Turkmenistan","","Autorisé sur demande","39.4791 59.5154","Turkménistan",""
"Tuvalu","","Autorisé en cas de danger pour la vie de la mère","-8.5042 179.2049","Tuvalu",""
"Uganda","","Autorisé en cas de danger pour la vie de la mère","1.9676 32.9896","Ouganda",""
"Ukraine","","Autorisé sur demande","48.8464 33.5486","Ukraine",""
"United Arab Emirates","","Autorisé en cas de danger pour la vie de la mère","23.3865 54.2485","Émirats arabes unis",""
"United States of America","","Législation variant au niveau sous-national","39.382 -99.3421","Etats-unis",""
"Uruguay","","Autorisé sur demande","-32.781 -56.0032","Uruguay",""
"Uzbekistan","","Autorisé sur demande","41.8936 63.8434","Ouzbekistan",""
"Vanuatu","","Autorisé pour raisons de santé","-15.296 166.885","Vanuatu",""
"Venezuela","","Autorisé en cas de danger pour la vie de la mère","7.1583 -64.0124","Venezuela",""
"Viet Nam","","Autorisé sur demande","21.5866 105.3047","Vietnam",""
"State of Palestine","","Autorisé en cas de danger pour la vie de la mère","31.9479 35.2478","Palestine",""
"Yemen","","Autorisé en cas de danger pour la vie de la mère","15.3921 45.4111","Yémen",""
"Zambia","","Autorisé pour raisons socio-économiques","-14.9226 26.1418","Zambie",""
"Zimbabwe","","Autorisé pour raisons de santé","-18.907 29.7885","Zimbabwe","Autorisé en cas de viol et d'inceste"
